title	author	link	image	category	sub-category	status	page	type	animated	description	rating					version	version-message	release					down		
Friday Night Funkin'	ninjamuffin99	https://syndicatelibrary.github.io./dufrayightdunkin/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/funkinlogo.png	rythm	story	ok	1	fixed|grail|animated	https://media.tenor.com/tw1NZQ2UTXkAAAAM/fnf-bf.gif	HOLY FUCKING SHIT! ITS FIXED, GOLY ITS FIXED> FHUHANBAN play it now suckers!!!						0.7.0	original v0.7 same old stuff	obsolete							
Snowrider	by ashima Prabhakar	https://mcmattyobriore.github.io./source/snowrider3d/	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/snowrider3d.jpeg			ok	1	animated	https://i.imgur.com/E6lEt6I.gif	snowrider, what is there to say? simple gameplay, very addictive. ride a sled down a snowy tundra, avoid trees & snowballs/men, while collecting presents for santa.						0.7.1	added none assets and none old ones	obsolete							
1v1.lol	developed by justplay.lol	https://mcmattyobriore.github.io./web-ported/1v1-lol/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/1v1.png			ok	1	animated	https://media.tenor.com/2roX3uxz_68AAAAM/cat-space.gif	fast paced, sweaty, 3d shoota.						0.7.2	finished page 2 and started page 3	obsolete							
Retro Bowl	Developed by none Star	https://mcmattyobriore.github.io./source/retrobowl/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/retro.jpeg			ok	1	animated	https://media.tenor.com/XOSOCjqXcNIAAAAM/surfing-nyan-cat.gif	imagine football, but arcade & slave owner.						0.7.3	bug fixing and optimizing search engine	obsolete							
Monkey Mart	developed by TinyDobbins	https://mcmattyobriore.github.io./source/monkeymart/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/monkeymart.png			ok	1	animated	https://i.pinimg.com/originals/d8/c9/1a/d8c91a38ba7965bcc7ad62335ae279a7.gif	sell bananas, and other goods for a profit, exploit the working class by hiring and abusing your workers.						0.7.4	added more pages and stuff	obsolete							
Slope	Y8	https://bguhm.github.io./library/slope/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/slope.jpg			ok	1	none		chill lil slope, get a highscore by avoiding red death blocks. and not falling off as well.						0.7.4.1	asset batch	obsolete							
Slope 2	Y8	https://bguhm.github.io./library/slope2/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/slope2.jpeg			ok	1	none		im thinking of 2 words, the first one is slope. "slope 2?" ok.. who is cheating!						0.7.4.2	asset batch and bug fixes	obsolete							
Omori	By OmoCat studio	https://bguhm.github.io./library/omori/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/Omori_cover.jpg			ok	1	none		emo rpg. get over killing your sister, heartless bastard!						0.7.4.3	asset batch and suggested assets	obsolete							
Five Nights at Freddy's	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/fnaf1.png			fix	1	fixed|animated	https://media.tenor.com/BWB9cDCdCaUAAAAM/fnaf-five-nights-at-freddy%27s.gif	hur hur hurr hurr, survive 5 nights, dont get stuffed.						0.7.4.4	asset batch	obsolete							
Five Nights at Freddy's 2	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s_2.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/fnaf2.png			fix	1	fixed		hear me out.						0.7.4.5	bug fixes and reworks	obsolete							
Five Nights at Freddy's 3	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s_3.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/fnaf3.png			fix	1	fixed		visiting your father at the retire home. lmao						0.7.4.6	asset batch	obsolete							
Five Nights at Freddy's 4	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s_4.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/fnaf4.png			fix	1	fixed		its all in your head, chomp!						0.7.4.7	asset batch	obsolete							
Five Nights at Freddy's 4 Halloween	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s_4__Halloween.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/fnaf4halloween.png			fix	1	fixed		spooky month!!						0.7.4.8	asset batch	obsolete							
FNaF World	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s__World.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/world.png			fix	1	fixed		cute deadly rpg.						0.7.4.9	asset batch	obsolete							
FNaF Pizza Simulator	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s__Pizza_Simulator.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/pizzasim.png			fix	1	fixed		best one >>>						0.7.5	working none loading screen	obsolete							
FNaF World Refreshed	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s__World_Refreshed.html	https://raw.githubusercontent.com/gn-math/covers/main/704.png			fix	1	fixed		dlc? idk, dont hurt me.						0.7.5.1	asset batch	obsolete							
Ultimate Custom Night	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s__Ultimate_Custom_Night.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/ucn.png			fix	1	fixed		hell.						0.7.5.2	mapped out assets up until page 5	obsolete							
FNaF Sister Location	Scott Cawthon	https://syndicatelibrary.github.io/fnaf-ports/Five_Nights_at_Freddy_s__Sister_Location.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/sisterlocation.png			fix	1	fixed		should i port the mimic? that lowk be tuff, oh yeah. erm, ballora.						0.7.5.3	small visual issues and bug fixing	obsolete							
Crazy Cattle 3D	By 4nn4t4t	https://slackerish.github.io./crazycattle3d/	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/crazycattle3d.jpg			ok	1	none		beeeh, last sheep standing.						0.7.5.4	visual bugs with quote system & js tweaks + baldi's basics	obsolete							
Cuphead	by Studio MDHR	https://bguhm.github.io./library/cuphead/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/cuphead.png			ok	1	none		dont sell your soul.						0.7.5.5	NOVEMBER!!! game batches will be added every week! check them out on page 4! also some none--- friends. have arrived to the website. conversate with them at the bottom of the pages!	obsolete							
Kindergarten	By Con Man & Smashϱames 	https://bguhm.github.io./library/kindergarten/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/kinder.png			ok	1	none		experience being a brainless child again! nugget.nugg huuaahh!						0.7.5.6	early version of login and registration, none quote system bugs, and will be adding all assets from sl4ckrr and archiving it inside versions page at footer.	obsolete							
Eaglercraft 1.8.8	By Lax1dude	https://bguhm.github.io./library/eaglercraft/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/eagler.png			ok	1	none		minecraft by laxidude, he cool.						0.7.5.7	404 fall back for my header and footer so you wont see an empty 404 by github, BUT MY ME!! MUAHAHAHA	obsolete							
Geometry Dash	by robtop	https://bguhm.github.io./library/geometrydash/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/geometrydash.png			ok	1	none		actually a good remake, has base lite levels :)						0.7.5.8	adding all assets from sl4ckrr, archieving sl4ckrr, and updating sl4ckrr to redirect to the none mcmattyobriore website. (its better anyway)	obsolete							
Crossy Road	by hipster whale	https://bguhm.github.io./library/crossyroad/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/crossy.jpeg			ok	1	none		why did teh chicken cross the road? find out by playing crossy road! avoid running into cars, falling into rivers, and being so slow that the camera moves on while you DIE.						0.7.5.9	major bug fixes, none cover overlays.	obsolete							
Class of 09	Published By Wrath Club	https://bguhm.github.io./library/class-of-09/index.html	https://raw.githubusercontent.com/gn-math/covers/main/259.png			ok	1	none		edge lord visual novel.						0.7.6	added 404 search gif + text, updated the search engine to be more flexable. added all assets from sl4ckrr.	obsolete							
Bloons Tower Defense	By NinjaKiwi	https://bguhm.github.io./library/btd/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/btd.jpg			ok	1	none		monke kills birthday balloons.						0.7.7	WAKE UP none BATCH DROP!!! finished page 4 (earlier) + none and improved quote system that supports gifs, and images!!! check it out :V	obsolete							
Bloons Tower Defense 2	By NinjaKiwi	https://bguhm.github.io./library/btd2/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/btd2.png			ok	1	none		monke kills birthday balloons 2						0.7.8	happy none years, while the website was down we revamped the music player, added more security and are constantly updating old and none, we finished page 5, added all of page 6 and removed pong because its not being played too much, we decided to replace it with riddle school 1, hope you all enjoyed your break :)	obsolete							
Bloons Tower Defense 3	By NinjaKiwi	https://bguhm.github.io./library/btd3/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/btd3.jpeg			ok	1	none		monke kills birthday balloons 3						0.7.9	removed system to loading, back to wannasmile branding + added all of page 6 finally .-.	obsolete							
Bloons Tower Defense 4	By NinjaKiwi	https://bguhm.github.io./library/btd4/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/btd4.jpeg			ok	1	none		monke kills birthday balloons 4						0.8	BIG changes, loading now happens quicker, alot more optimized, along with page 7 through 8 being FULLY filled out, new SHINEY look to cards, and some animated features! ^^ check em out! along with all pages finally being here lol. sorry for not being active for a while, been working alot on this new one, hope ya likey~	obsolete							
Bloons Tower Defense 5	By NinjaKiwi	https://bguhm.github.io./library/btd5/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/btd5.jpg			ok	1	none		monke kills birthday balloons 5						0.8.1	minor bug fixes, along with new card looks for dmca/blcked versions! anyway fnaf series WILL be fixed very soon, and a new fnaf asset will be added. stay tooned 👀	obsolete							
Pac-Man	By Google	https://mcmattyobriore.github.io./source/pacman/	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/pacman.png			ok	1	none		run from ghosts and eat balls.						0.8.2	fixed the Fnaf series + added fnaf world refreshed! page 7 completed in its entirely. taking any and ALL suggestions here:[a]https://padlet.com/rhap5ody/wannasmile-suggestion-report-page-t8t6pg32hl71ri9m[/a] ^^ also been working on a new project.. stay tooned! (no i cannot add soccer viewing, erm maybe but ima probably focus on stuff that would benefit the most people XD erm yt? im unsure if it is restricted in your area but i sadly cant fix that :/ anyway... ill be working on new features! v0.8.3 COMING before May 16th :) erm, added back the discord widget! YAY, (please actually use it, i worked hard on it, and you should definitely join and express your opinions/concerns! IF YOU DIDNT KNOW-- the discord widget does NOT require ANY accounts to start chatting lol, erm keep cussing at a moderate use. Version 0.9 will be available by June 27, 2027. unsure of its required features list but it will be BIG, look farward to it! ALSO if you didnt notice, footer is now matching with the redux theme! sorry i rushed the update previously, im glad that things are going farward now, not going to be any more consistent than i am with the updates lmao but check for any updates on "devlog" & "news" sections!	obsolete							
Cookie Clicker	By DashNet	https://mcmattyobriore.github.io./source-expanded/cookie-clicker/	https://raw.githubusercontent.com/mcmattyobriore/source-expanded/main/cookie-clicker/icon.png			ok	1	none		idle clicker game, only play it for granny >3-						0.8.2.5		obsolete							
OvO	By Dedra ϱames	https://bguhm.github.io./library/ovo/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/ovo.jpeg			ok	1	none		platformer speedrunning game						0.8.3	OPTIMIZATION OVERLOAD! pages load way quickr, all anchors/pages are existant (finally) and pages 1 through 8 are officially COMPLETED! along with a new NEWS section/page were updates and bug fixed etc. will be documents ALONG with any youtube uploads by ME :) and any new mods that YOU then community create <3 v1 is legit coming out sept. 2026, HURAAA. and most all pages have been fully up to date by now. and.. fully listed out contributors to the site!	obsolete							
Just One Boss		https://wnasmile.github.io/LAMAR/just-one-boss/	https://raw.githubusercontent.com/wnasmile/LAMAR/main/just-one-boss/pv1Gr5.png			ok	1	new		its just one boss.						0.8.3.5	small changes, along with new buttons. and moved download to dashboard.	obsolete							
osu!	By Dean Herbert	https://mcmattyobriore.github.io./source-expanded/osu/	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/osu.png			ok	1	none								0.8.4	BIOHAZARD! new report button along with description system, some new assets and page 9 being fully filled out ^^ ALSO along with most assets being fixed, now using RAW instead of JSD url types. dw this doesnt matter much for the average user, but if you understand then the cdn was not delivering (da dum ding!) XD	current							
2048	By Gabriele Cirulli	https://bguhm.github.io./library/2048/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/2048.png			ok	1	none								0.8.4.1	relatively small bug fixes, and a new toggle button for the cloak mode or when its turned off :) also fixed the issue of cloak lingering on when turned off, along with DATA being able to be cleared,imported,exported, and transfered! some also new stuff is for dev and modding of the site, release is recorded and read, so "obsolete" is for versions which are not the current one, then "current" which will always display, if more than 1 are current then uses the latest one, and also "ignore" and "prerelease" which are ignored or show only if its higher than the latest/current version, example 0.6.3 (current) < 0.9.2 (prerelease) and 0.8.4 (current) < 0.7.2 (prerelease) etc.	prerelease							
Bad Ice Cream	By Nitrome	https://bguhm.github.io./library/badicecream/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/bic.png			ok	1	none																	
Bad Ice Cream 2	By Nitrome	https://bguhm.github.io./library/badicecream2/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/bic2.png			ok	1	none																	
Bad Ice Cream 3	By Nitrome	https://bguhm.github.io./library/badicecream3/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/bic3.png			ok	1	none																	
Moto X3M	By MadPuffers	https://bguhm.github.io./library/motox3m/index.html	https://raw.githubusercontent.com/bguhm/bguhm.github.io/main/library/images/3xm.jpeg			ok	1	none																	
